datetime,sec_code,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26
2020/6/30,EWT.P,0.591836735,0.625,0.813953488,0.224489796,1,0.306122449,0.6,0.367346939,0.755102041,0.3125,0.354166667,0.791666667,0.515463918,0.591836735,0.891304348,0.375,0.395833333,0.208333333,0.625,0.551020408,0.543478261,0.571428571,0.791666667,1.432250414,-1.502871613,0.916666667
2020/6/30,EWU.P,0.326530612,0.729166667,0.046511628,0.12244898,1,0.367346939,1,0.530612245,0.183673469,0.375,0.625,0.25,0.12371134,0.448979592,0.413043478,0.5,0.645833333,0.354166667,0.854166667,0.887755102,0.456521739,0.285714286,0.041666667,0.531725688,1.223711087,0.166666667
2020/6/30,EWY.P,0.530612245,0.5,0.255813953,0.102040816,1,0.244897959,0.125,0.408163265,0.612244898,0.75,0.875,0.083333333,0.432989691,0.897959184,0.782608696,0.333333333,0.4375,0.1875,0.458333333,0.530612245,0.652173913,0.714285714,0.208333333,0.352499746,1.94E-16,0.277777778
2020/6/30,EWZ.P,0.816326531,0.833333333,0.860465116,0.06122449,1,0.408163265,0.6,0.87755102,0.408163265,0.5625,1,0.229166667,0.06185567,0.93877551,0.673913043,0.791666667,0.604166667,0,0.583333333,0.489795918,0.847826087,0.469387755,0.770833333,0.758005195,1.165608355,0.138888889
2020/6/30,FLOT.P,0.224489796,0.666666667,0.76744186,0.081632653,1,0.510204082,0.2,0.734693878,1,0.125,0.25,0.3125,0.701030928,0.489795918,0.608695652,0.625,0.416666667,0.604166667,0.520833333,0.285714286,0.413043478,0.591836735,0.25,-0.087001878,0.815116692,0.513888889
2020/6/30,GLD.P,0.510204082,0.333333333,0.5,0.591836735,0.125,0.857142857,0.05,0.489795918,0,0.854166667,0.291666667,0.875,0.927835052,0.979591837,1,0.645833333,0.083333333,1,0.104166667,0.112244898,1,0.367346939,0.895833333,-0.099164226,-1.302030415,0.833333333
2020/6/30,HYG.P,0.673469388,0.5625,0.88372093,0.408163265,1,0.081632653,0.275,0.795918367,0.693877551,0.875,0.3125,0.020833333,0.494845361,0.285714286,0.065217391,0.083333333,0.854166667,0.083333333,0.729166667,0.857142857,0.043478261,0.408163265,0.541666667,0.27719529,1.027791962,0.666666667
2020/6/30,IAGG.B,0.102040816,0.541666667,0.744186047,0.428571429,0.21875,0.755102041,0.85,0.653061224,0.795918367,0,0.0625,0.625,0.783505155,0.326530612,0.5,0.6875,0.3125,0.645833333,0.291666667,0.306122449,0.5,0.755102041,0.583333333,-0.32251161,0.800607046,0.513888889
2020/6/30,IBB.O,0.93877551,0.25,0.488372093,0.265306122,0.03125,0.775510204,0.95,0.448979592,0.102040816,0.729166667,0.479166667,0.916666667,0.845360825,0.306122449,0.043478261,0.979166667,0.0625,0.5,0.229166667,0.673469388,1,0.183673469,0.875,0.352499746,-1.641493949,0.694444444
2020/6/30,ICLN.O,0.428571429,0.291666667,0,0.367346939,1,0.918367347,0.6,0.387755102,0.714285714,0.104166667,0.8125,0.645833333,0.618556701,1,0.739130435,0.041666667,0.145833333,0.6875,0.083333333,0.795918367,0.369565217,0.224489796,0.979166667,0.352499746,-0.219809061,0.777777778
2020/6/30,IEF.O,0.183673469,0.791666667,0.162790698,0.469387755,0.4375,0.979591837,0.6,0.346938776,0.06122449,0.895833333,0.145833333,0.895833333,0.948453608,0.142857143,0.630434783,0.0625,0.1875,0.9375,0.145833333,0.326530612,0.869565217,0.857142857,0.708333333,-0.512852115,-0.020236283,0.513888889
2020/6/30,IEMG.P,0.571428571,0.3125,0.790697674,0.346938776,1,0.428571429,0.6,0.326530612,0.632653061,0.333333333,0.5625,0.291666667,0.350515464,0.87755102,0.847826087,0.25,0.5,0.333333333,0.541666667,0.591836735,0.826086957,0.897959184,0.479166667,0.352499746,1.94E-16,0.111111111
2020/6/30,IGOV.O,0.265306122,0.0625,0.279069767,0.285714286,0.375,0.653061224,0.6,0.244897959,0.775510204,0.145833333,0.083333333,0.4375,0.195876289,0.816326531,0.956521739,0.729166667,0.583333333,0.666666667,0.208333333,0.224489796,0.739130435,0.918367347,0.3125,-0.388045577,-0.485079711,0.513888889
2020/6/30,INDA.B,0.285714286,0.479166667,0.465116279,0.244897959,1,0.469387755,0.05,0.183673469,0.653061224,0.625,0.916666667,0.416666667,0.144329897,0.673469388,0.5,0.416666667,0.541666667,0.125,0.604166667,0.765306122,0.782608696,0.959183673,0.229166667,0.054603362,1.230052862,0.555555556
2020/6/30,IUSG.O,0.897959184,0.708333333,0.23255814,0.448979592,1,0.102040816,0.325,0.12244898,0.428571429,0.479166667,0.833333333,0.854166667,0.659793814,0.204081633,0.173913043,0.166666667,0.166666667,0.770833333,0.8125,0.06122449,0.065217391,0.12244898,0.833333333,0.352499746,1.94E-16,0.888888889
2020/6/30,KSA.P,0.408163265,0.229166667,0.325581395,0.326530612,1,0.571428571,0.6,0.163265306,0.673469388,0.4375,0.9375,0.479166667,0.020618557,0.244897959,0.260869565,0.833333333,0.8125,0.541666667,0.041666667,0.928571429,0.891304348,1,0.125,1.242417146,0.995709199,0.513888889
2020/6/30,MBB.O,0.204081633,0.083333333,0.720930233,0.306122449,0.34375,0.489795918,0.6,0.285714286,0.265306122,0.166666667,0.104166667,0.729166667,0.969072165,0.12244898,0.391304348,0.854166667,1,0.833333333,0,1,0.695652174,0.775510204,0.520833333,0.352499746,0.225801835,0.513888889
2020/6/30,MCHI.O,0.755102041,0.604166667,0.302325581,0.163265306,1,0.93877551,0.25,0.224489796,0.591836735,0.791666667,0.333333333,0.770833333,0.639175258,0.632653061,0.97826087,0.458333333,0.25,0.75,0.354166667,0.510204082,0.717391304,0.93877551,0.645833333,0.352499746,1.94E-16,0.388888889
2020/6/30,PFF.O,0.469387755,0.854166667,0.581395349,0.142857143,1,0.224489796,0.925,0.265306122,0.224489796,0.708333333,0.708333333,0.1875,0.474226804,0.020408163,0.130434783,0.916666667,0.9375,0.3125,0.4375,0.346938776,0.282608696,0.551020408,0.625,0.352499746,0.739102888,0.055555556
2020/6/30,QQQ.O,0.979591837,0.770833333,0.11627907,0.714285714,0,0.612244898,0.6,0.204081633,0.489795918,0.416666667,0.729166667,0.958333333,0.824742268,0.265306122,0.108695652,0.958333333,0.041666667,0.958333333,0.833333333,0.428571429,1,0.040816327,0.958333333,1.63207857,-1.048256705,0.972222222
2020/6/30,SHY.O,0.081632653,0.9375,0.534883721,0.734693878,0.25,0.632653061,0.9,0.142857143,0.816326531,1,0.020833333,0.6875,1,0.040816327,0.565217391,0.604166667,0.291666667,0.791666667,0.0625,0.37755102,0.52173913,0.673469388,0.270833333,-0.151728362,-0.176561812,0.513888889
2020/6/30,SLV.P,0.346938776,0.020833333,0.023255814,0.755102041,1,0.591836735,0.35,0.102040816,0.836734694,0.1875,0.4375,0.5,0.577319588,0.734693878,0.760869565,0.666666667,0.270833333,0.520833333,0.020833333,0.959183673,0.217391304,0.020408163,0.729166667,0.352499746,1.94E-16,0.722222222
2020/6/30,SMH.P,0.87755102,0.8125,0.5,0.836734694,1,0.795918367,0.05,0.081632653,0.306122449,0.6875,0.895833333,0.8125,0.680412371,0.367346939,0.217391304,0.208333333,0.104166667,0.8125,0.916666667,0.020408163,0,0.102040816,1,0.352499746,-0.77107463,1
2020/6/30,SPY.P,1,0.458333333,0.5,0.87755102,1,0,0.5,0.959183673,0.163265306,0.458333333,0.75,1,0.536082474,0.183673469,0,0.3125,0.979166667,0.479166667,0.979166667,0.448979592,1,0.163265306,0.75,1.048342702,0.992580825,0.805555556
